date,time,DOY,Ta,RH,Rg
[yyyy-mm-dd],[HH:MM],[ddd.ddd],[K],[%],[W/m^2]
2019-04-27,05:03,117.2103,272.239,88.2320,-4.47452
2019-04-27,05:33,117.2312,271.796,90.1783,5.42965
2019-04-27,06:03,117.2520,272.046,85.6968,85.6119
2019-04-27,06:33,117.2728,272.588,81.1499,192.111
2019-04-27,07:03,117.2937,273.272,72.2137,296.789
2019-04-27,07:33,117.3145,274.187,67.6405,410.938
2019-04-27,08:03,117.3353,275.065,62.0532,533.556
2019-04-27,08:33,117.3561,276.069,56.0912,642.864
2019-04-27,09:03,117.3770,277.147,42.8090,735.086
2019-04-27,09:33,117.3978,277.818,41.6486,781.153
2019-04-27,10:03,117.4186,278.319,35.4967,873.245
2019-04-27,10:33,117.4395,278.503,38.0915,945.056
2019-04-27,11:03,117.4603,278.856,35.7824,997.168
2019-04-27,11:33,117.4811,278.970,35.0564,902.492
2019-04-27,12:03,117.5020,279.399,38.0677,982.468
2019-04-27,12:33,117.5228,279.583,40.8593,987.916
2019-04-27,13:03,117.5436,280.032,37.6132,967.284
2019-04-27,13:33,117.5644,279.534,36.8544,637.932
2019-04-27,14:03,117.5853,279.989,34.4560,587.870
2019-04-27,14:33,117.6061,280.634,38.3876,717.704
2019-04-27,15:03,117.6269,281.186,33.7391,805.479
2019-04-27,15:33,117.6478,282.079,27.3109,745.046
2019-04-27,16:03,117.6686,281.899,26.8162,644.438
2019-04-27,16:33,117.6894,282.026,27.1108,539.432
2019-04-27,17:03,117.7103,281.948,27.7721,428.757
2019-04-27,17:33,117.7311,281.692,28.1485,310.562
2019-04-27,18:03,117.7519,281.471,31.1486,200.269
2019-04-27,18:33,117.7727,280.680,35.1065,84.2406
2019-04-27,19:03,117.7936,280.123,36.0406,14.2669
2019-04-27,19:33,117.8144,279.609,37.6773,-4.13605
2019-04-27,20:03,117.8352,279.665,39.9958,-4.82228
2019-04-27,20:33,117.8561,279.580,40.3421,-4.94068
2019-04-27,21:03,117.8769,279.038,41.9951,-5.30851
2019-04-27,21:33,117.8977,278.103,41.8740,-5.16613
2019-04-27,22:03,117.9186,277.364,41.8169,-5.03594
2019-04-27,22:33,117.9394,277.059,40.2556,-4.95371
2019-04-27,23:03,117.9602,276.979,41.8942,-4.84305
2019-04-27,23:33,117.9810,276.458,43.3895,-4.91953
2019-04-28,00:03,118.0020,276.745,42.3501,-4.61683
2019-04-28,00:33,118.0229,276.557,45.6141,-5.08951
2019-04-28,01:03,118.0437,276.033,46.4780,-4.85366
2019-04-28,01:33,118.0645,275.995,48.2336,-4.78421
2019-04-28,02:03,118.0854,275.763,49.5846,-4.95197
2019-04-28,02:33,118.1062,275.510,48.3717,-4.64772
2019-04-28,03:03,118.1270,275.924,48.9152,-4.41583
2019-04-28,03:33,118.1478,276.154,49.6641,-4.49227
2019-04-28,04:03,118.1687,276.240,50.2729,-3.62405
2019-04-28,04:33,118.1895,276.081,54.4129,-3.82614
2019-04-28,05:03,118.2103,275.924,53.5971,-3.16153
2019-04-28,05:33,118.2312,276.273,51.7433,24.6812
2019-04-28,06:03,118.2520,276.811,50.3465,111.890
2019-04-28,06:33,118.2728,278.507,46.0241,239.909
2019-04-28,07:03,118.2937,279.313,51.7228,204.556
2019-04-28,07:33,118.3145,279.764,51.7050,441.719
2019-04-28,08:03,118.3353,279.830,55.5086,565.863
2019-04-28,08:33,118.3561,280.200,52.8844,641.600
2019-04-28,09:03,118.3770,279.041,64.1094,220.743
2019-04-28,09:33,118.3978,278.754,60.6263,164.480
2019-04-28,10:03,118.4186,279.698,51.1523,629.771
