date,time,DOY,Ta,RH,Rg
[yyyy-mm-dd],[HH:MM],[ddd.ddd],[K],[%],[W/m^2]
2019-04-25,00:30,115.0208,297.462,24.0339,0.997540
2019-04-25,01:00,115.0416,297.459,24.3758,0.982703
2019-04-25,01:30,115.0624,297.441,24.6646,0.990124
2019-04-25,02:00,115.0833,297.414,25.0248,0.988783
2019-04-25,02:30,115.1041,297.415,25.2114,0.988783
2019-04-25,03:00,115.1249,297.414,25.2214,0.989458
2019-04-25,03:30,115.1458,297.373,25.1194,0.988784
2019-04-25,04:00,115.1666,297.341,25.0716,0.980689
2019-04-25,04:30,115.1874,297.303,24.9939,0.982047
2019-04-25,05:00,115.2082,297.256,28.9534,0.973279
2019-04-25,05:30,115.2291,-9999,-9999,-9999
2019-04-25,06:00,115.2499,-9999,-9999,-9999
2019-04-25,06:30,115.2707,-9999,-9999,-9999
2019-04-25,07:00,115.2916,-9999,-9999,-9999
2019-04-25,07:30,115.3124,-9999,-9999,-9999
2019-04-25,08:00,115.3332,-9999,-9999,-9999
2019-04-25,08:30,115.3541,-9999,-9999,-9999
2019-04-25,09:00,115.3749,-9999,-9999,-9999
2019-04-25,09:30,115.3957,-9999,-9999,-9999
2019-04-25,10:00,115.4166,-9999,-9999,-9999
2019-04-25,10:30,115.4374,-9999,-9999,-9999
2019-04-25,11:00,115.4582,-9999,-9999,-9999
2019-04-25,11:30,115.4790,-9999,-9999,-9999
2019-04-25,12:00,115.4999,-9999,-9999,-9999
2019-04-25,12:30,115.5207,-9999,-9999,-9999
2019-04-25,13:00,115.5415,-9999,-9999,-9999
2019-04-25,13:30,115.5624,-9999,-9999,-9999
2019-04-25,14:00,115.5832,-9999,-9999,-9999
2019-04-25,14:30,115.6040,-9999,-9999,-9999
2019-04-25,15:00,115.6249,-9999,-9999,-9999
2019-04-25,15:30,115.6457,282.588,29.9054,428.927
2019-04-25,16:00,115.6665,282.614,30.7300,463.603
2019-04-25,16:30,115.6873,283.072,27.2035,580.439
2019-04-25,17:00,115.7082,283.306,29.1273,484.254
2019-04-25,17:30,115.7290,283.101,29.1578,360.004
2019-04-25,18:00,115.7498,282.904,28.2568,190.381
2019-04-25,18:30,115.7707,282.127,29.0614,83.3581
2019-04-25,19:00,115.7915,281.173,44.4329,15.3382
2019-04-25,19:30,115.8123,279.385,47.7890,-4.15818
2019-04-25,20:00,115.8332,279.142,48.6325,-3.44753
2019-04-25,20:30,115.8540,278.732,48.7356,-3.52630
2019-04-25,21:00,115.8748,278.219,47.5743,-4.26424
2019-04-25,21:30,115.8956,277.684,44.9201,-3.49132
2019-04-25,22:00,115.9165,276.714,44.3063,-4.25164
2019-04-25,22:30,115.9373,277.113,46.4671,-4.18358
2019-04-25,23:00,115.9581,276.554,50.3966,-4.45284
2019-04-25,23:30,115.9790,276.323,51.1957,-3.73881
2019-04-26,00:00,116.0000,276.373,51.7097,-3.87543
2019-04-26,00:30,116.0208,276.696,49.7738,-3.06867
2019-04-26,01:00,116.0416,276.985,50.4972,-3.89701
2019-04-26,01:30,116.0624,276.879,52.1008,-3.77727
2019-04-26,02:00,116.0833,276.671,53.3357,-3.89361
2019-04-26,02:30,116.1041,276.387,56.9719,-4.14110
2019-04-26,03:00,116.1249,276.216,57.5632,-4.05528
2019-04-26,03:30,116.1458,276.496,58.6681,-3.99851
2019-04-26,04:00,116.1666,276.496,61.2773,-4.17967
2019-04-26,04:30,116.1874,276.822,61.9183,-4.10579
2019-04-26,05:00,116.2082,276.957,62.0127,-3.96704
2019-04-26,05:30,116.2291,276.480,63.0056,6.22241
2019-04-26,06:00,116.2499,276.837,58.9689,77.6400
2019-04-26,06:30,116.2707,277.604,58.2582,184.634
2019-04-26,07:00,116.2916,278.168,53.9303,296.520
2019-04-26,07:30,116.3124,279.526,47.5696,408.605
2019-04-26,08:00,116.3332,280.704,42.9957,517.591
2019-04-26,08:30,116.3541,281.789,40.1125,623.479
2019-04-26,09:00,116.3749,282.305,39.5274,721.903
2019-04-26,09:30,116.3957,282.626,39.0168,775.004
2019-04-26,10:00,116.4166,282.978,38.7669,848.615
2019-04-26,10:30,116.4374,283.550,36.3843,894.437
2019-04-26,11:00,116.4582,283.745,32.6710,800.410
2019-04-26,11:30,116.4790,283.824,36.4316,591.440
2019-04-26,12:00,116.4999,283.736,34.3229,724.560
2019-04-26,12:30,116.5207,284.387,33.9693,1009.45
2019-04-26,13:00,116.5415,284.918,31.2357,969.255
2019-04-26,13:30,116.5624,285.283,31.1691,908.205
2019-04-26,14:00,116.5832,285.290,28.3156,764.950
2019-04-26,14:30,116.6040,285.844,29.2242,707.630
2019-04-26,15:00,116.6249,284.516,50.4911,132.769
2019-04-26,15:30,116.6457,278.191,90.3560,116.598
2019-04-26,16:00,116.6665,275.458,95.8088,27.0476
2019-04-26,16:30,116.6873,274.816,98.0618,72.9084
2019-04-26,17:00,116.7082,275.433,98.0165,259.287
2019-04-26,17:30,116.7290,275.773,94.7836,198.484
2019-04-26,18:00,116.7498,276.368,94.7376,156.502
2019-04-26,18:30,116.7707,275.922,97.1433,23.0129
2019-04-26,19:00,116.7915,274.850,99.2206,-0.453661
2019-04-26,19:30,116.8123,273.432,99.9270,-0.718708
2019-04-26,20:00,116.8332,273.732,99.9444,-1.64305
2019-04-26,20:30,116.8540,273.982,99.1480,-0.987900
2019-04-26,21:00,116.8748,273.952,98.5860,-0.675501
2019-04-26,21:30,116.8956,274.410,96.7858,0.197444
2019-04-26,22:00,116.9165,274.231,97.9295,-0.510508
2019-04-26,22:30,116.9373,274.401,95.7301,-1.60792
2019-04-26,23:00,116.9581,274.338,95.9107,-2.53901
2019-04-26,23:30,116.9790,274.544,95.3982,-2.31388
2019-04-27,00:00,117.0000,274.493,94.2366,-2.12319
2019-04-27,00:30,117.0208,274.297,92.0395,-2.59789
2019-04-27,01:00,117.0416,274.097,90.2755,-3.36947
2019-04-27,01:30,117.0624,273.877,88.4333,-4.03492
2019-04-27,02:00,117.0833,273.570,85.8397,-4.19666
2019-04-27,02:30,117.1041,273.315,81.0546,-4.90747
2019-04-27,03:00,117.1249,273.125,79.4197,-4.61682
2019-04-27,03:30,117.1458,272.987,83.0572,-4.39855
2019-04-27,04:00,117.1666,272.866,84.2824,-4.67317
2019-04-27,04:30,117.1874,272.616,84.3503,-4.69761
2019-04-27,05:00,117.2082,272.239,88.2320,-4.47452
2019-04-27,05:30,117.2291,271.796,90.1783,5.42965
2019-04-27,06:00,117.2499,272.046,85.6968,85.6119
2019-04-27,06:30,117.2707,272.588,81.1499,192.111
2019-04-27,07:00,117.2916,273.272,72.2137,296.789
2019-04-27,07:30,117.3124,274.187,67.6405,410.938
2019-04-27,08:00,117.3332,275.065,62.0532,533.556
2019-04-27,08:30,117.3541,276.069,56.0912,642.864
2019-04-27,09:00,117.3749,277.147,42.8090,735.086
2019-04-27,09:30,117.3957,277.818,41.6486,781.153
2019-04-27,10:00,117.4166,278.319,35.4967,873.245
2019-04-27,10:30,117.4374,278.503,38.0915,945.056
2019-04-27,11:00,117.4582,278.856,35.7824,997.168
2019-04-27,11:30,117.4790,278.970,35.0564,902.492
2019-04-27,12:00,117.4999,279.399,38.0677,982.468
2019-04-27,12:30,117.5207,279.583,40.8593,987.916
2019-04-27,13:00,117.5415,280.032,37.6132,967.284
2019-04-27,13:30,117.5624,279.534,36.8544,637.932
2019-04-27,14:00,117.5832,279.989,34.4560,587.870
2019-04-27,14:30,117.6040,280.634,38.3876,717.704
2019-04-27,15:00,117.6249,281.186,33.7391,805.479
2019-04-27,15:30,117.6457,282.079,27.3109,745.046
